,n,name,alpha,was_broken,iters
0,2,const_search,0.0001,True,1000
1,2,const_search,0.01,False,23
2,2,wolfe_search,,True,1000
3,2,bfgs,,False,4
4,5,const_search,0.0001,True,1000
5,5,const_search,0.01,False,15
6,5,wolfe_search,,True,1000
7,5,bfgs,,False,12
8,10,const_search,0.0001,True,1000
9,10,const_search,0.01,False,15
10,10,wolfe_search,,True,1000
11,10,bfgs,,False,16
12,20,const_search,0.0001,True,1000
13,20,const_search,0.01,False,13
14,20,wolfe_search,,True,1000
15,20,bfgs,,False,28
16,2,const_search,0.0001,True,1000
17,2,const_search,0.01,False,24
18,2,wolfe_search,,True,1000
19,2,bfgs,,False,5
20,5,const_search,0.0001,True,1000
21,5,const_search,0.01,False,15
22,5,wolfe_search,,True,1000
23,5,bfgs,,False,10
24,10,const_search,0.0001,True,1000
25,10,const_search,0.01,False,15
26,10,wolfe_search,,True,1000
27,10,bfgs,,False,16
28,20,const_search,0.0001,True,1000
29,20,const_search,0.01,False,14
30,20,wolfe_search,,True,1000
31,20,bfgs,,False,27
32,2,const_search,0.0001,True,1000
33,2,const_search,0.01,False,22
34,2,wolfe_search,,True,1000
35,2,bfgs,,False,4
36,5,const_search,0.0001,True,1000
37,5,const_search,0.01,False,17
38,5,wolfe_search,,True,1000
39,5,bfgs,,False,10
40,10,const_search,0.0001,True,1000
41,10,const_search,0.01,False,14
42,10,wolfe_search,,True,1000
43,10,bfgs,,False,16
44,20,const_search,0.0001,True,1000
45,20,const_search,0.01,False,14
46,20,wolfe_search,,True,1000
47,20,bfgs,,False,30
48,2,const_search,0.0001,True,1000
49,2,const_search,0.01,False,22
50,2,wolfe_search,,True,1000
51,2,bfgs,,False,4
52,5,const_search,0.0001,True,1000
53,5,const_search,0.01,False,16
54,5,wolfe_search,,True,1000
55,5,bfgs,,False,11
56,10,const_search,0.0001,True,1000
57,10,const_search,0.01,False,15
58,10,wolfe_search,,True,1000
59,10,bfgs,,False,17
60,20,const_search,0.0001,True,1000
61,20,const_search,0.01,False,14
62,20,wolfe_search,,True,1000
63,20,bfgs,,False,27
64,2,const_search,0.0001,True,1000
65,2,const_search,0.01,False,22
66,2,wolfe_search,,True,1000
67,2,bfgs,,False,4
68,5,const_search,0.0001,True,1000
69,5,const_search,0.01,False,15
70,5,wolfe_search,,True,1000
71,5,bfgs,,False,10
72,10,const_search,0.0001,True,1000
73,10,const_search,0.01,False,14
74,10,wolfe_search,,True,1000
75,10,bfgs,,False,17
76,20,const_search,0.0001,True,1000
77,20,const_search,0.01,False,14
78,20,wolfe_search,,True,1000
79,20,bfgs,,False,27
